filter_name,filter_num,peak_wavelength
f_IRAC_80,21,79158.0
f_IRAC_58,20,57450.0
f_IRAC_45,19,45020.0
f_IRAC_36,18,35569.0
f_Ks,255,21538.0
f_J1,249,10540.0
f_J2,250,11448.0
f_J3,251,12802.0
f_Hs,254,15544.0
f_Hl,253,17020.0
f_Zp,83,9028.2
f_Z,92,8871.9
f_I,91,7675.6
f_Rp,81,6275.5
f_R,90,6244.8
f_G,89,4869.9
f_V,79,5470.2
f_B,78,4448.0
f_U,88,3828.0
f_IA427,181,4260.0
f_IA484,184,4847.3
f_IA505,185,5060.8
f_IA527,186,5259.3
f_IA624,190,6230.8
f_IA709,193,7073.5
f_IA738,194,7359.5
f_F125W,203,12471.0
f_F160W,205,15396.0
f_F140W,204,13924.0
f_F606W,236,5921.1
f_F814W,239,8057.0
f_UVISTA_J,257,12527.0
f_UVISTA_H,258,16433.0
f_UVISTA_Ks,259,21503.0
f_UVISTA_Y,256,10217.0
f_Ksall,33,21666.0
